FacilityID,DayOfWeek,OpenTime,CloseTime
FAC101,MON,6:00:00 AM,11:00:00 PM
FAC101,TUE,6:00:00 AM,11:00:00 PM
FAC101,WED,6:00:00 AM,11:00:00 PM
FAC101,THU,6:00:00 AM,11:00:00 PM
FAC101,FRI,6:00:00 AM,11:00:00 PM
FAC101,SAT,9:00:00 AM,11:00:00 PM
FAC101,SUN,1:00:00 PM,11:00:00 PM
FAC102,MON,8:00:00 AM,8:00:00 PM
FAC102,TUE,8:00:00 AM,8:00:00 PM
FAC102,WED,8:00:00 AM,8:00:00 PM
FAC102,THU,8:00:00 AM,8:00:00 PM
FAC102,FRI,8:00:00 AM,8:00:00 PM
FAC102,SAT,9:00:00 AM,8:00:00 PM
FAC102,SUN,1:00:00 PM,8:00:00 PM
FAC103,MON,12:30 PM,10:00:00 PM
FAC103,TUE,12:30 PM,10:00:00 PM
FAC103,WED,12:30 PM,10:00:00 PM
FAC103,THU,12:30 PM,10:00:00 PM
FAC103,FRI,12:00:00 PM,10:00:00 PM
FAC103,SAT,9:00:00 AM,10:00:00 PM
FAC103,SUN,1:00:00 PM,10:00:00 PM
FAC104,MON,2:00:00 PM,11:00:00 PM
FAC104,TUE,2:00:00 PM,11:00:00 PM
FAC104,WED,2:00:00 PM,11:00:00 PM
FAC104,THU,2:00:00 PM,11:00:00 PM
FAC104,FRI,12:00:00 PM,11:00:00 PM
FAC104,SAT,12:00:00 PM,11:00:00 PM
FAC104,SUN,1:00:00 PM,11:00:00 PM
