VisitID,AnonID,FacilityID,VisitTimestamp,DayOfWeek,TimeOfDay,MethodOfEntry,TypeOfAccess,OccupancyAtTime
V00000001,QXV9P5T6W,FAC101,2025-01-30 06:03:56,THU,06:03:56,True,ENTRY,11
V00000002,LKB3DJKHO,FAC101,2025-01-30 06:13:45,THU,06:13:45,False,ENTRY,17
V00000003,BYW2V5DX3,FAC101,2025-01-30 06:19:45,THU,06:19:45,False,ENTRY,73
V00000004,IUWN6R4YM,FAC101,2025-01-30 06:24:45,THU,06:24:45,False,EXIT,20
V00000005,B98AHFMEQ,FAC101,2025-01-30 06:33:17,THU,06:33:17,True,REENT,44
V00000006,XFOKE9IW4,FAC101,2025-01-30 06:37:37,THU,06:37:37,True,REENT,62
V00000007,I7ACG7WSX,FAC101,2025-01-30 06:50:54,THU,06:50:54,False,EXIT,71
V00000008,W41UII44G,FAC101,2025-01-30 06:57:58,THU,06:57:58,True,ENTRY,51
V00000009,A3WO96SC3,FAC101,2025-01-30 07:02:41,THU,07:02:41,False,REENT,49
V00000010,L06A1LSAJ,FAC101,2025-01-30 07:04:22,THU,07:04:22,False,ENTRY,70
V00000011,HOOLJQFGL,FAC101,2025-01-30 07:06:30,THU,07:06:30,True,EXIT,36
V00000012,R81U36PNK,FAC101,2025-01-30 07:17:55,THU,07:17:55,True,EXIT,23
V00000013,PG4JYRCT8,FAC101,2025-01-30 07:20:44,THU,07:20:44,True,EXIT,79
V00000014,IADQ9U8OW,FAC101,2025-01-30 07:21:33,THU,07:21:33,True,REENT,32
V00000015,WC3PUUZFQ,FAC101,2025-01-30 07:26:44,THU,07:26:44,True,REENT,43
V00000016,CTDMPIM54,FAC101,2025-01-30 07:30:19,THU,07:30:19,True,REENT,16
V00000017,B8452B5ON,FAC101,2025-01-30 07:38:52,THU,07:38:52,False,REENT,10
V00000018,PGVONLNMZ,FAC101,2025-01-30 07:48:15,THU,07:48:15,True,REENT,29
V00000019,MZ5GS9G7P,FAC101,2025-01-30 07:52:02,THU,07:52:02,False,ENTRY,42
V00000020,QGX058OAT,FAC101,2025-01-30 07:52:20,THU,07:52:20,True,ENTRY,48
V00000021,OP0R4IX54,FAC101,2025-01-30 07:59:14,THU,07:59:14,False,ENTRY,13
V00000022,R12JVT4Z7,FAC101,2025-01-30 08:03:27,THU,08:03:27,True,EXIT,50
V00000023,YK713VTCN,FAC101,2025-01-30 08:10:50,THU,08:10:50,True,EXIT,63
V00000024,G1T8NGSRQ,FAC101,2025-01-30 08:14:52,THU,08:14:52,False,REENT,54
V00000025,P2JOIOAOB,FAC101,2025-01-30 08:32:44,THU,08:32:44,True,EXIT,71
V00000026,SPHZVXLQ0,FAC101,2025-01-30 08:38:00,THU,08:38:00,False,REENT,24
V00000027,PGXAO2KH0,FAC101,2025-01-30 08:44:12,THU,08:44:12,False,EXIT,72
V00000028,IBP6XBEVR,FAC101,2025-01-30 08:52:24,THU,08:52:24,False,ENTRY,42
V00000029,BDZLPNFKQ,FAC101,2025-01-30 08:57:28,THU,08:57:28,False,ENTRY,20
V00000030,VUGV8FQG8,FAC101,2025-01-30 08:57:45,THU,08:57:45,True,ENTRY,24
V00000031,H5M5SIR6Z,FAC101,2025-01-30 09:02:09,THU,09:02:09,True,ENTRY,155
V00000032,VUXAXM4UM,FAC101,2025-01-30 09:02:32,THU,09:02:32,False,EXIT,187
V00000033,MIGO0GRKY,FAC101,2025-01-30 09:03:04,THU,09:03:04,True,EXIT,148
